pair_id,source_x_m,source_z_m,receiver_x_m,receiver_z_m,offset_m,travel_time_s,travel_time_ms
51,25.0,0.0,98.0,0.0,73.0,0.10494729780950598,104.94729780950598
52,25.0,0.0,102.0,0.0,77.0,0.11005692437493121,110.05692437493121
53,25.0,0.0,106.0,0.0,81.0,0.11471092829578458,114.71092829578458
54,25.0,0.0,110.0,0.0,85.0,0.12032764329273167,120.32764329273166
55,25.0,0.0,114.0,0.0,89.0,0.12480687846102748,124.80687846102748
56,25.0,0.0,118.0,0.0,93.0,0.1310369731683185,131.0369731683185
57,45.0,0.0,2.0,0.0,43.0,0.08075106022716141,80.75106022716142
58,45.0,0.0,6.0,0.0,39.0,0.07323933369440222,73.23933369440222
59,45.0,0.0,10.0,0.0,35.0,0.06572760716164301,65.72760716164301
60,45.0,0.0,14.0,0.0,31.0,0.05821588062888383,58.21588062888383
61,45.0,0.0,18.0,0.0,27.0,0.05070415409612461,50.70415409612461
62,45.0,0.0,22.0,0.0,23.0,0.04319242756336541,43.192427563365406
63,45.0,0.0,26.0,0.0,19.0,0.03568070103060621,35.68070103060621
64,45.0,0.0,30.0,0.0,15.0,0.028168974497847006,28.168974497847007
65,45.0,0.0,34.0,0.0,11.0,0.020657247965087805,20.657247965087805
66,45.0,0.0,38.0,0.0,7.0,0.013145521432328604,13.145521432328604
67,45.0,0.0,50.0,0.0,5.0,0.009389658165949003,9.389658165949003
68,45.0,0.0,54.0,0.0,9.0,0.016901384698708208,16.901384698708206
69,45.0,0.0,58.0,0.0,13.0,0.02441311123146741,24.413111231467408
70,45.0,0.0,62.0,0.0,17.0,0.031924837764226596,31.924837764226595
71,45.0,0.0,66.0,0.0,21.0,0.039436564296985804,39.43656429698581
72,45.0,0.0,70.0,0.0,25.0,0.04694829082974501,46.94829082974501
73,45.0,0.0,74.0,0.0,29.0,0.054460017362504214,54.46001736250421
74,45.0,0.0,78.0,0.0,33.0,0.061971743895263415,61.971743895263415
75,45.0,0.0,82.0,0.0,37.0,0.06948347042802262,69.48347042802263
76,45.0,0.0,86.0,0.0,41.0,0.07699519696078182,76.99519696078181
77,45.0,0.0,90.0,0.0,45.0,0.08450692349354103,84.50692349354102
78,45.0,0.0,94.0,0.0,49.0,0.09201865002630022,92.01865002630022
79,45.0,0.0,98.0,0.0,53.0,0.09953037655905941,99.53037655905942
80,45.0,0.0,102.0,0.0,57.0,0.10704210309181862,107.04210309181862
81,45.0,0.0,106.0,0.0,61.0,0.11455382962457783,114.55382962457783
82,45.0,0.0,110.0,0.0,65.0,0.12206555615733701,122.06555615733701
83,45.0,0.0,114.0,0.0,69.0,0.12957728269009622,129.5772826900962
84,45.0,0.0,118.0,0.0,73.0,0.13585398543134297,135.85398543134298
85,65.0,0.0,2.0,0.0,63.0,0.09898017120404055,98.98017120404056
86,65.0,0.0,6.0,0.0,59.0,0.0955090423283474,95.50904232834739
87,65.0,0.0,10.0,0.0,55.0,0.09142909359875423,91.42909359875424
88,65.0,0.0,14.0,0.0,51.0,0.08798366699924878,87.98366699924878
89,65.0,0.0,18.0,0.0,47.0,0.08375005226756779,83.7500522675678
90,65.0,0.0,22.0,0.0,43.0,0.07810598574393603,78.10598574393603
91,65.0,0.0,26.0,0.0,39.0,0.07323933369440222,73.23933369440222
92,65.0,0.0,30.0,0.0,35.0,0.06572760716164301,65.72760716164301
93,65.0,0.0,34.0,0.0,31.0,0.058215880628883825,58.21588062888382
94,65.0,0.0,38.0,0.0,27.0,0.05070415409612461,50.70415409612461
95,65.0,0.0,42.0,0.0,23.0,0.0431924275633654,43.1924275633654
96,65.0,0.0,46.0,0.0,19.0,0.03568070103060621,35.68070103060621
97,65.0,0.0,50.0,0.0,15.0,0.028168974497847006,28.168974497847007
98,65.0,0.0,54.0,0.0,11.0,0.020657247965087805,20.657247965087805
99,65.0,0.0,58.0,0.0,7.0,0.013145521432328604,13.145521432328604
100,65.0,0.0,70.0,0.0,5.0,0.009389658165949003,9.389658165949003
101,65.0,0.0,74.0,0.0,9.0,0.016901384698708208,16.901384698708206
102,65.0,0.0,78.0,0.0,13.0,0.024413111231467405,24.413111231467404
103,65.0,0.0,82.0,0.0,17.0,0.0319248377642266,31.924837764226602
104,65.0,0.0,86.0,0.0,21.0,0.03943656429698581,39.436564296985814
105,65.0,0.0,90.0,0.0,25.0,0.04694829082974501,46.94829082974501
106,65.0,0.0,94.0,0.0,29.0,0.05446001736250421,54.4600173625042
107,65.0,0.0,98.0,0.0,33.0,0.0619717438952634,61.9717438952634
108,65.0,0.0,102.0,0.0,37.0,0.06948347042802262,69.48347042802263
109,65.0,0.0,106.0,0.0,41.0,0.07699519696078183,76.99519696078183
110,65.0,0.0,110.0,0.0,45.0,0.08450692349354103,84.50692349354102
111,65.0,0.0,114.0,0.0,49.0,0.09201865002630022,92.01865002630022
112,65.0,0.0,118.0,0.0,53.0,0.09953037655905941,99.53037655905942
113,85.0,0.0,2.0,0.0,83.0,0.11231415263548696,112.31415263548695
114,85.0,0.0,6.0,0.0,79.0,0.10852422141832985,108.52422141832984
115,85.0,0.0,10.0,0.0,75.0,0.10333958097736223,103.33958097736223
116,85.0,0.0,14.0,0.0,71.0,0.0989486947256371,98.9486947256371
117,85.0,0.0,18.0,0.0,67.0,0.09570638062627938,95.70638062627938
118,85.0,0.0,22.0,0.0,63.0,0.09170350121463028,91.70350121463028
119,85.0,0.0,26.0,0.0,59.0,0.08953271545966573,89.53271545966574
120,85.0,0.0,30.0,0.0,55.0,0.08607662834222021,86.07662834222022
121,85.0,0.0,34.0,0.0,51.0,0.08521358280206517,85.21358280206518
122,85.0,0.0,38.0,0.0,47.0,0.0857789116276532,85.7789116276532
123,85.0,0.0,42.0,0.0,43.0,0.08075106022716141,80.75106022716142
124,85.0,0.0,46.0,0.0,39.0,0.07323933369440222,73.23933369440222
125,85.0,0.0,50.0,0.0,35.0,0.06572760716164301,65.72760716164301
126,85.0,0.0,54.0,0.0,31.0,0.05821588062888382,58.215880628883816
127,85.0,0.0,58.0,0.0,27.0,0.05070415409612461,50.70415409612461
128,85.0,0.0,62.0,0.0,23.0,0.0431924275633654,43.1924275633654
129,85.0,0.0,66.0,0.0,19.0,0.03568070103060621,35.68070103060621
130,85.0,0.0,70.0,0.0,15.0,0.028168974497847006,28.168974497847007
131,85.0,0.0,74.0,0.0,11.0,0.020657247965087805,20.657247965087805
132,85.0,0.0,78.0,0.0,7.0,0.013145521432328602,13.145521432328602
133,85.0,0.0,90.0,0.0,5.0,0.009389658165949003,9.389658165949003
134,85.0,0.0,94.0,0.0,9.0,0.016901384698708208,16.901384698708206
135,85.0,0.0,98.0,0.0,13.0,0.024413111231467405,24.413111231467404
136,85.0,0.0,102.0,0.0,17.0,0.0319248377642266,31.924837764226602
137,85.0,0.0,106.0,0.0,21.0,0.03943656429698581,39.436564296985814
138,85.0,0.0,110.0,0.0,25.0,0.04694829082974501,46.94829082974501
139,85.0,0.0,114.0,0.0,29.0,0.05446001736250421,54.4600173625042
140,85.0,0.0,118.0,0.0,33.0,0.0619717438952634,61.9717438952634
141,105.0,0.0,2.0,0.0,103.0,0.13833422939054313,138.33422939054313
142,105.0,0.0,6.0,0.0,99.0,0.13330107393842705,133.30107393842704
143,105.0,0.0,10.0,0.0,95.0,0.13005067057158537,130.05067057158536
144,105.0,0.0,14.0,0.0,91.0,0.12495970461392229,124.9597046139223
145,105.0,0.0,18.0,0.0,87.0,0.11949866381098959,119.49866381098958
146,105.0,0.0,22.0,0.0,83.0,0.1172331977998902,117.23319779989019
147,105.0,0.0,26.0,0.0,79.0,0.11244592088431393,112.44592088431394
148,105.0,0.0,30.0,0.0,75.0,0.1093448443673046,109.3448443673046
149,105.0,0.0,34.0,0.0,71.0,0.1061852883696315,106.1852883696315
150,105.0,0.0,38.0,0.0,67.0,0.11166426822560888,111.66426822560888
151,105.0,0.0,42.0,0.0,63.0,0.11807363146853758,118.07363146853758
152,105.0,0.0,46.0,0.0,59.0,0.11079796635819822,110.79796635819822
153,105.0,0.0,50.0,0.0,55.0,0.10328623982543902,103.28623982543903
154,105.0,0.0,54.0,0.0,51.0,0.09577451329267982,95.77451329267981
155,105.0,0.0,58.0,0.0,47.0,0.08826278675992061,88.2627867599206
156,105.0,0.0,62.0,0.0,43.0,0.08075106022716141,80.75106022716142
157,105.0,0.0,66.0,0.0,39.0,0.07323933369440222,73.23933369440222
158,105.0,0.0,70.0,0.0,35.0,0.06572760716164301,65.72760716164301
159,105.0,0.0,74.0,0.0,31.0,0.05821588062888381,58.21588062888381
160,105.0,0.0,78.0,0.0,27.0,0.05070415409612461,50.70415409612461
161,105.0,0.0,82.0,0.0,23.0,0.0431924275633654,43.1924275633654
162,105.0,0.0,86.0,0.0,19.0,0.03568070103060621,35.68070103060621
163,105.0,0.0,90.0,0.0,15.0,0.028168974497847006,28.168974497847007
164,105.0,0.0,94.0,0.0,11.0,0.020657247965087805,20.657247965087805
165,105.0,0.0,98.0,0.0,7.0,0.013145521432328602,13.145521432328602
166,105.0,0.0,110.0,0.0,5.0,0.009389658165949003,9.389658165949003
167,105.0,0.0,114.0,0.0,9.0,0.016901384698708208,16.901384698708206
168,105.0,0.0,118.0,0.0,13.0,0.024413111231467405,24.413111231467404
169,115.0,0.0,2.0,0.0,113.0,0.1516509669908913,151.6509669908913
170,115.0,0.0,6.0,0.0,109.0,0.14745888733059587,147.45888733059587
171,115.0,0.0,10.0,0.0,105.0,0.1427277840915602,142.7277840915602
172,115.0,0.0,14.0,0.0,101.0,0.13715842394125854,137.15842394125855
173,115.0,0.0,18.0,0.0,97.0,0.13445304325970384,134.45304325970383
174,115.0,0.0,22.0,0.0,93.0,0.12958592827149812,129.58592827149812
175,115.0,0.0,26.0,0.0,89.0,0.12652344990766046,126.52344990766046
176,115.0,0.0,30.0,0.0,85.0,0.12332838645082278,123.32838645082278
177,115.0,0.0,34.0,0.0,81.0,0.12753279216336844,127.53279216336844
178,115.0,0.0,38.0,0.0,77.0,0.1297787655850648,129.7787655850648
179,115.0,0.0,42.0,0.0,73.0,0.13489203616760323,134.89203616760324
180,115.0,0.0,46.0,0.0,69.0,0.12957728269009622,129.5772826900962
181,115.0,0.0,50.0,0.0,65.0,0.12206555615733702,122.06555615733703
182,115.0,0.0,54.0,0.0,61.0,0.11455382962457783,114.55382962457783
183,115.0,0.0,58.0,0.0,57.0,0.10704210309181862,107.04210309181862
184,115.0,0.0,62.0,0.0,53.0,0.09953037655905941,99.53037655905942
185,115.0,0.0,66.0,0.0,49.0,0.09201865002630022,92.01865002630022
186,115.0,0.0,70.0,0.0,45.0,0.08450692349354103,84.50692349354102
187,115.0,0.0,74.0,0.0,41.0,0.07699519696078183,76.99519696078183
188,115.0,0.0,78.0,0.0,37.0,0.06948347042802262,69.48347042802263
189,115.0,0.0,82.0,0.0,33.0,0.0619717438952634,61.9717438952634
190,115.0,0.0,86.0,0.0,29.0,0.05446001736250421,54.4600173625042
191,115.0,0.0,90.0,0.0,25.0,0.04694829082974501,46.94829082974501
192,115.0,0.0,94.0,0.0,21.0,0.03943656429698581,39.436564296985814
193,115.0,0.0,98.0,0.0,17.0,0.0319248377642266,31.924837764226602
194,115.0,0.0,102.0,0.0,13.0,0.024413111231467405,24.413111231467404
195,115.0,0.0,106.0,0.0,9.0,0.016901384698708208,16.901384698708206
196,115.0,0.0,110.0,0.0,5.0,0.009389658165949003,9.389658165949003
